key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,10.387,,0,0,0,0,1,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.03125,-0.41],[-0.0225,0.395],[0.1925,-0.295],[0.365,-0.27625],[-0.45875,-0.3],[-0.26625,0.235],[0.54,0.03625],[-0.6025,0.0725],[0.25625,0.0975]]",practice,"[0.0044444444444444444,0.01888888888888889,0.35888888888888887]","[0.35888888888888887,-0.3844444444444444,-0.4722222222222222]","[1,1,1]","[0,0,0]","[0,0,0]","[2.597999999999999,3.3309999999999995,3.9800000000000004]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.22,0.2425],[0.1925,-0.295],[-0.675,0.29875],[-0.35125,0.36625],[-0.24625,0.04375],[-0.09875,0.065],[0.54,0.03625],[0.4125,-0.1325],[0.25625,0.0975]]",practice,"[0.1688888888888889,0.23777777777777778,0.3277777777777778,0.31777777777777777]","[-0.27,0.21888888888888888,-0.4866666666666667,-0.4411111111111111]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[2.2969999999999935,2.8479999999999954,3.4819999999999958,4.314999999999994]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.12125,-0.12625],[-0.35125,0.36625],[-0.0225,0.395],[-0.6025,0.0725],[-0.01125,-0.295],[0.57875,-0.31375],[-0.01875,0.235],[0.25625,0.0975],[0.16625,0.3825]]",practice,"[0.015555555555555555,-0.27555555555555555,-0.31444444444444447,-0.08888888888888889,0.3711111111111111]","[0.35444444444444445,0.35777777777777775,0.3511111111111111,-0.09666666666666666,-0.44333333333333336]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8140000000000001,1.2650000000000006,1.631999999999998,2.2139999999999986,2.83100000000001]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.0225,0.395],[0.30125,-0.0175],[0.4125,-0.1325],[0.365,-0.27625],[0.4625,0.35875],[0.54,0.03625],[-0.285,-0.27125],[-0.18625,0.41125],[-0.3575,-0.05625]]",practice,"[0.4266666666666667,0.33,-0.017777777777777778,0.45]","[-0.11888888888888889,-0.034444444444444444,0.40555555555555556,-0.46555555555555556]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.532999999999987,0.9339999999999904,1.6669999999999874,2.3669999999999902]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,3.581,,0,0,0,0,1,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.09875,0.065],[0.22,0.2425],[0.19375,-0.17125],[-0.285,-0.27125],[-0.12125,-0.12625],[0.54,0.03625],[-0.6025,0.0725],[0.28875,0.39875],[-0.45875,-0.3]]",main,"[0.19555555555555557,0.21,-0.006666666666666667,-0.06555555555555556,0.30777777777777776,0.33]","[-0.19,0.24555555555555555,0.06666666666666667,0.06666666666666667,-0.41444444444444445,-0.44666666666666666]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.7489999999999952,1.2489999999999952,1.698999999999998,1.9979999999999905,2.5819999999999936,3.114999999999995]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[0.03125,-0.41],[0.05875,-0.0575],[-0.485,0.34625],[-0.16125,-0.28],[0.6375,0.27375],[0.30125,-0.0175],[0.4625,0.35875],[-0.12125,-0.12625],[-0.55125,-0.13375]]",main,"[-0.44222222222222224,0.07,0.05555555555555555,0.3522222222222222]","[0.3211111111111111,-0.057777777777777775,-0.3844444444444444,-0.4444444444444444]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.7480000000000047,2.3980000000000103,2.9480000000000075,3.4650000000000034]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.12125,-0.12625],[-0.285,-0.27125],[-0.0225,0.395],[-0.45875,-0.3],[-0.68625,-0.225],[0.16625,0.3825],[0.57875,-0.31375],[-0.3575,-0.05625],[-0.18625,0.41125]]",main,"[-0.43,-0.017777777777777778,-0.25,-0.1111111111111111,0.3333333333333333]","[-0.31,0.37222222222222223,-0.2822222222222222,-0.12444444444444444,-0.4533333333333333]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.4819999999999993,1.198999999999998,1.899000000000001,2.3160000000000025,2.8659999999999997]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,L2SPAN_2023_29,001,2023-09-13_17h41.23.995,reverse_corsi_task,2023.1.3,MacIntel,58.82352941,"[[-0.485,0.34625],[-0.45875,-0.3],[0.28875,0.39875],[0.62875,-0.1825],[-0.55125,-0.13375],[0.6375,0.27375],[-0.16125,-0.28],[-0.09875,0.065],[0.03125,-0.41]]",main,"[0.5877777777777777,0.27111111111111114,-0.4311111111111111,-0.4922222222222222,0.43,0.42]","[-0.1988888888888889,0.42333333333333334,-0.28555555555555556,0.3522222222222222,-0.3711111111111111,-0.4722222222222222]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.0819999999999936,1.681999999999988,2.4479999999999933,3.149000000000001,3.9989999999999952,4.315999999999988]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
