"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","6","0.0-0.0","L2SPAN_2023_41","PRE","","","","","","","","","","",""
"fullscreen","1","6171","0.0-1.0","L2SPAN_2023_41","PRE","true","","","","","","","","","",""
"survey-html-form","2","14212","0.0-2.0","L2SPAN_2023_41","PRE","","7379","{""userID"":""L2SPAN_2023_41"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","30459","0.0-3.0","L2SPAN_2023_41","PRE","","15583","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","31272","0.0-4.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","33059","0.0-5.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","34845","0.0-6.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","36632","0.0-7.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","41933","0.0-8.0","L2SPAN_2023_41","PRE","","4631","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","43782","0.0-9.0","L2SPAN_2023_41","PRE","","1188","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","44593","0.0-10.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","46381","0.0-11.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","48169","0.0-12.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","49957","0.0-13.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","51744","0.0-14.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","53531","0.0-15.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","61199","0.0-16.0","L2SPAN_2023_41","PRE","","7000.999999999985","{""recall"":""219""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","62788","0.0-17.0","L2SPAN_2023_41","PRE","","928.0000000000073","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","18","63600","0.0-18.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","19","65387","0.0-19.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">5</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","20","67174","0.0-20.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">7</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","21","68961","0.0-21.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","22","70747","0.0-22.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","23","72534","0.0-23.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","24","74321","0.0-24.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","25","76109","0.0-25.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","26","77896","0.0-26.0","L2SPAN_2023_41","PRE","","null","","practice display digit","<div class=""stimulus"">6</div>","null","5,7,1,9,4,2,3,6","","","",""
"survey-html-form-autofocus","27","91027","0.0-27.0","L2SPAN_2023_41","PRE","","12550","{""recall"":""1946""}","practice recall","","","57194236","","4236","",""
"html-keyboard-response","28","103359","0.0-28.0","L2SPAN_2023_41","PRE","","11670","","","<p>The sequence was 57194236					and you input 1946.<br/>					<span class='incorrect'>You should have written 4236.</span></p>						<p>Press SPACE to continue</p>","32","","","","",""
"html-keyboard-response","29","136399","0.0-29.0","L2SPAN_2023_41","PRE","","33029","","","<p>That was the practice section.<br/>			<p>Now goes the official part of the task.<br/>			You won't be given any feedback on your performance.</p>			<p>R U ready?</p>			<p>[Press Y to begin]</p>","89","","","","",""
"html-keyboard-response","30","137861","0.0-30.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","31","139648","0.0-31.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","5,0,1,7,2,9,8","","","5",""
"html-keyboard-response","32","141434","0.0-32.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","5,0,1,7,2,9,8","","","0",""
"html-keyboard-response","33","143223","0.0-33.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","5,0,1,7,2,9,8","","","1",""
"html-keyboard-response","34","145010","0.0-34.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","5,0,1,7,2,9,8","","","7",""
"html-keyboard-response","35","146797","0.0-35.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","5,0,1,7,2,9,8","","","2",""
"html-keyboard-response","36","148583","0.0-36.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">9</div>","null","5,0,1,7,2,9,8","","","9",""
"html-keyboard-response","37","150371","0.0-37.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">8</div>","null","5,0,1,7,2,9,8","","","8",""
"survey-html-form-autofocus","38","157706","0.0-38.0","L2SPAN_2023_41","PRE","","6668.000000000029","{""recall"":""8""}","recall","","","5017298","8","8","","true"
"html-keyboard-response","39","159168","0.0-39.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","40","160955","0.0-40.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","5,3,1,5,0,7,5","","","5",""
"html-keyboard-response","41","162743","0.0-41.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","5,3,1,5,0,7,5","","","3",""
"html-keyboard-response","42","164530","0.0-42.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">1</div>","null","5,3,1,5,0,7,5","","","1",""
"html-keyboard-response","43","166317","0.0-43.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","5,3,1,5,0,7,5","","","5",""
"html-keyboard-response","44","168103","0.0-44.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","5,3,1,5,0,7,5","","","0",""
"html-keyboard-response","45","169889","0.0-45.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","5,3,1,5,0,7,5","","","7",""
"html-keyboard-response","46","171676","0.0-46.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","5,3,1,5,0,7,5","","","5",""
"survey-html-form-autofocus","47","177080","0.0-47.0","L2SPAN_2023_41","PRE","","4738","{""recall"":""5""}","recall","","","5315075","5","5","","true"
"html-keyboard-response","48","178542","0.0-48.0-0.0","L2SPAN_2023_41","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","49","180330","0.0-48.0-1.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">0</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","0",""
"html-keyboard-response","50","182116","0.0-48.0-2.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","4",""
"html-keyboard-response","51","183902","0.0-48.0-3.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">3</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","3",""
"html-keyboard-response","52","185689","0.0-48.0-4.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">5</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","5",""
"html-keyboard-response","53","187476","0.0-48.0-5.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">7</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","7",""
"html-keyboard-response","54","189262","0.0-48.0-6.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","4",""
"html-keyboard-response","55","191049","0.0-48.0-7.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","2",""
"html-keyboard-response","56","192836","0.0-48.0-8.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">4</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","4",""
"html-keyboard-response","57","194623","0.0-48.0-9.0","L2SPAN_2023_41","PRE","","null","","display digit","<div class=""stimulus"">2</div>","null","0,4,3,5,7,4,2,4,2,8,6,3,9","","","2",""
