key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,24.29,,0,0,0,0,1,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,"[[-0.4075,0.11875],[-0.24625,0.04375],[-0.68625,-0.225],[0.62875,-0.1825],[0.19375,-0.17125],[-0.01125,-0.295],[-0.26625,0.235],[0.54,0.03625],[-0.16125,-0.28]]",practice,"[-0.4,-0.22777777777777777,0.4546296296296296]","[0.10740740740740741,0.028703703703703703,-0.44814814814814813]","[1,1,1]","[0,0,0]","[0,0,0]","[2.8785000000000025,3.784000000000006,4.802500000000002]","[""blk1"",""blk2""]","[0,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,"[[-0.485,0.34625],[-0.68625,-0.225],[0.22,0.2425],[0.6375,0.27375],[-0.35125,0.36625],[-0.675,0.29875],[-0.24625,0.04375],[0.05875,-0.0575],[0.19375,-0.17125]]",practice,"[-0.46574074074074073,-0.6462962962962963,0.49166666666666664,0.45555555555555555]","[0.34074074074074073,-0.23055555555555557,-0.48518518518518516,-0.46574074074074073]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.9350000000000023,1.801600000143054,2.5960000000000036,3.5902999999523217]","[""blk1"",""blk2""]","[0,0]",0,0,0,0,0,1,,,,,,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,"[[-0.01875,0.235],[-0.6025,0.0725],[0.25625,0.0975],[-0.24625,0.04375],[0.03125,-0.41],[-0.35125,0.36625],[-0.01125,-0.295],[0.05875,-0.0575],[0.30125,-0.0175]]",practice,"[0.26944444444444443,-0.6601851851851852,-0.6259259259259259,-0.026851851851851852,0.3453703703703704]","[0.07685185185185185,0.0787037037037037,0.08055555555555556,0.2212962962962963,-0.462037037037037]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0517000000476813,2.0721000001430525,2.4888000001907358,3.2171000001430485,4.0844999999999985]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,"[[0.30125,-0.0175],[-0.0225,0.395],[-0.3575,-0.05625],[0.54,0.03625],[-0.12125,-0.12625],[0.03125,-0.41],[0.57875,-0.31375],[-0.45875,-0.3],[0.05875,-0.0575]]",practice,"[-0.35648148148148145,-0.026851851851851852,-0.07685185185185185,-0.023148148148148147,0.3194444444444444,0.3888888888888889,0.3990740740740741]","[-0.03425925925925926,0.325,0.4222222222222222,0.39444444444444443,-0.017592592592592594,-0.3962962962962963,-0.4425925925925926]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.1121000001430446,1.5981000001430559,2.1799000000953654,2.913600000143056,4.542400000095377,5.517100000143053,5.808500000000002]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,0.2321,,0,0,0,0,1,ADV_EN_25,001,2023-09-06_12h58.10.414,reverse_corsi_task,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,
