key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,23.5804,0.0007,0,0,0,0,1,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,"[[-0.285,-0.27125],[-0.09875,0.065],[0.05875,-0.0575],[0.19375,-0.17125],[-0.675,0.29875],[0.45375,0.175],[-0.485,0.34625],[0.22,0.2425],[-0.16125,-0.28]]",practice,"[-0.10277777777777777,-0.275,0.375]","[0.05648148148148148,-0.23796296296296296,-0.44351851851851853]","[1,1,1]","[0,0,0]","[0,0,0]","[2.457000000000008,5.6355000000000075,7.364600000000095]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,"[[0.28875,0.39875],[-0.09875,0.065],[-0.45875,-0.3],[-0.485,0.34625],[-0.16125,-0.28],[0.22,0.2425],[0.6375,0.27375],[0.1925,-0.295],[0.54,0.03625]]",practice,"[-0.08518518518518518,0.2861111111111111,0.41203703703703703]","[0.07962962962962963,0.3731481481481482,-0.4675925925925926]","[1,1,1]","[0,0,0]","[0,0,0]","[2.6783000000002772,4.14670000000018,5.62530000000028]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,"[[-0.18625,0.41125],[-0.45875,-0.3],[-0.01875,0.235],[-0.55125,-0.13375],[0.6375,0.27375],[0.1925,-0.295],[-0.285,-0.27125],[0.54,0.03625],[-0.675,0.29875]]",practice,"[-0.03425925925925926,-0.4425925925925926,-0.18703703703703703,0.4287037037037037]","[0.22592592592592592,-0.2740740740740741,0.4203703703703704,-0.4666666666666667]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[5.63860000000011,6.870200000000182,9.321600000000103,17.992300000000284]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,"[[0.05875,-0.0575],[0.25625,0.0975],[-0.6025,0.0725],[-0.485,0.34625],[0.6375,0.27375],[-0.24625,0.04375],[0.45375,0.175],[-0.09875,0.065],[-0.68625,-0.225]]",practice,"[-0.5935185185185186,0.21203703703703702,0.08518518518518518,0.3907407407407407]","[0.06759259259259259,0.09722222222222222,-0.0787037037037037,-0.4648148148148148]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[3.172399999999925,5.376299999999816,6.845199999999721,12.502099999999643]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,4.4598,0.0005,0,0,0,0,1,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,INC_J_ADV_05,001,2023-07-20_09h21.09.482,reverse_corsi_task,2023.1.3,Win32,4.613993319,"[[-0.35125,0.36625],[0.4125,-0.1325],[0.28875,0.39875],[-0.285,-0.27125],[-0.16125,-0.28],[-0.3575,-0.05625],[-0.01125,-0.295],[-0.0225,0.395],[-0.09875,0.065]]",main,"[0.29259259259259257,0.4027777777777778,-0.31296296296296294,0.42685185185185187]","[0.39166666666666666,-0.11574074074074074,0.3472222222222222,-0.46111111111111114]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[5.140299999999826,6.380000000000024,7.846600000000109,23.845600000000104]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
