key_resp.keys,key_resp.rt,key_resp.duration,instruct_loop.thisRepN,instruct_loop.thisTrialN,instruct_loop.thisN,instruct_loop.thisIndex,instruct_loop.ran,participant*,session,date,expName,psychopyVersion,OS,frameRate,positions,trial_type,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,repeat_loop.thisRepN,repeat_loop.thisTrialN,repeat_loop.thisN,repeat_loop.thisIndex,repeat_loop.ran,corsi_trials.thisRepN,corsi_trials.thisTrialN,corsi_trials.thisN,corsi_trials.thisIndex,corsi_trials.ran,final_corsi_span
space,43.7397,,0,0,0,0,1,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[-0.485,0.34625],[0.45375,0.175],[-0.285,-0.27125],[0.28875,0.39875],[-0.4075,0.11875],[-0.09875,0.065],[-0.26625,0.235],[-0.6025,0.0725],[0.25625,0.0975]]",practice,"[0.4398148148148148,-0.5185185185185185,0.38425925925925924]","[0.18888888888888888,0.36203703703703705,-0.44814814814814813]","[1,1,1]","[0,0,0]","[0,0,0]","[1.5330000000000013,2.817600000000084,13.19320000000019]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[0.25625,0.0975],[0.16625,0.3825],[-0.09875,0.065],[0.57875,-0.31375],[-0.55125,-0.13375],[-0.01875,0.235],[0.28875,0.39875],[0.4125,-0.1325],[-0.26625,0.235]]",practice,"[0.15648148148148147,0.23055555555555557,0.37962962962962965]","[0.362962962962963,0.13055555555555556,-0.4537037037037037]","[1,1,1]","[0,0,0]","[0,0,0]","[4.650899999999908,6.120999999999995,7.859799999999808]","[""blk2"",""blk1""]","[1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,1,0,1,0,1,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[0.4625,0.35875],[0.03125,-0.41],[0.4125,-0.1325],[0.1925,-0.295],[-0.675,0.29875],[-0.45875,-0.3],[0.45375,0.175],[-0.3575,-0.05625],[-0.16125,-0.28]]",practice,"[0.4101851851851852,0.05,0.47962962962962963,0.3592592592592593]","[-0.12129629629629629,-0.41203703703703703,0.37037037037037035,-0.45740740740740743]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[2.4348999999998995,4.653700000000185,6.1343999999999,10.085600000000099]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[0.22,0.2425],[0.62875,-0.1825],[-0.09875,0.065],[-0.45875,-0.3],[0.45375,0.175],[0.05875,-0.0575],[0.25625,0.0975],[0.365,-0.27625],[-0.285,-0.27125]]",practice,"[-0.11203703703703703,0.6462962962962963,0.25277777777777777,0.35648148148148145,0.3675925925925926]","[0.07407407407407407,-0.17222222222222222,0.24814814814814815,-0.48333333333333334,-0.46574074074074073]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.221799999999803,3.2091999999997256,4.437299999999823,5.921699999999703,6.657599999999633]","[""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,1,0,1,0,1,
space,7.7649,0.0005,0,0,0,0,1,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[0.57875,-0.31375],[-0.0225,0.395],[0.05875,-0.0575],[0.22,0.2425],[-0.09875,0.065],[0.4625,0.35875],[-0.16125,-0.28],[0.365,-0.27625],[0.28875,0.39875]]",main,"[0.05648148148148148,-0.008333333333333333,-0.040740740740740744,0.5583333333333333,0.55,0.48703703703703705]","[-0.07037037037037037,0.387037037037037,0.40370370370370373,-0.29907407407407405,-0.29074074074074074,-0.47314814814814815]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.2252999999998053,5.639199999999704,6.3802999999998065,10.100999999999999,10.600399999999894,11.344100000000083]","[""blk3"",""blk2"",""blk2"",""blk1"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[-0.09875,0.065],[-0.35125,0.36625],[0.0675,0.07375],[-0.24625,0.04375],[-0.0225,0.395],[0.4125,-0.1325],[-0.285,-0.27125],[0.62875,-0.1825],[0.6375,0.27375]]",main,"[0.058333333333333334,0.062037037037037036,-0.38055555555555554,-0.13055555555555556,0.29074074074074074]","[0.06296296296296296,0.09166666666666666,0.3907407407407407,0.07314814814814814,-0.4601851851851852]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.2058999999999287,2.9386000000000934,3.9246000000001118,6.177199999999743,7.4221999999997195]","[""blk3"",""blk3"",""blk2"",""blk1""]","[1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[0.03125,-0.41],[-0.45875,-0.3],[-0.3575,-0.05625],[-0.16125,-0.28],[0.16625,0.3825],[-0.4075,0.11875],[-0.6025,0.0725],[-0.675,0.29875],[0.30125,-0.0175]]",main,"[-0.19074074074074074,-0.36944444444444446,-0.4583333333333333,0.011111111111111112,0.36666666666666664]","[-0.28703703703703703,-0.07407407407407407,-0.29259259259259257,-0.3907407407407407,-0.43703703703703706]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.450600000000094,3.917799999999829,4.904000000000025,6.371100000000098,8.846100000000092]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,,,,,,,,,,,,,,,,,0,0,0,0,1,
,,,,,,,,INC_J_BEG_010,001,2023-07-20_09h06.32.860,reverse_corsi_task,2023.1.3,Win32,4.997376377,"[[-0.01875,0.235],[-0.0225,0.395],[0.22,0.2425],[0.62875,-0.1825],[0.57875,-0.31375],[-0.35125,0.36625],[0.1925,-0.295],[-0.55125,-0.13375],[0.25625,0.0975]]",main,"[0.6462962962962963,0.22592592592592592,-0.03425925925925926,-0.028703703703703703,0.33055555555555555]","[-0.1814814814814815,0.22962962962962963,0.4074074074074074,0.2490740740740741,-0.42962962962962964]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.7163000000003024,4.664899999999932,5.897200000000197,9.310500000000019,10.807500000000005]","[""blk4"",""blk3"",""blk2"",""blk1""]","[1,1,1,1]",1,0,0,0,0,1,,,,,,
