"trial_type","trial_index","time_elapsed","internal_node_id","userID","sessionType","success","rt","responses","stage","stimulus","key_press","sequence","recall","sequence_last_digits","digit","correct"
"pavlovia","0","7","0.0-0.0","ADV_EN_20","PRE","","","","","","","","","","",""
"fullscreen","1","8502","0.0-1.0","ADV_EN_20","PRE","true","","","","","","","","","",""
"survey-html-form","2","28492","0.0-2.0","ADV_EN_20","PRE","","19322.29999999702","{""userID"":""ADV_EN_20"",""type"":""PRE""}","userID","","","","","","",""
"html-keyboard-response","3","44607","0.0-3.0","ADV_EN_20","PRE","","15447","","","<p>Welcome to this task.</p>			<p>You will see a set of numbers, presented one at a time.<br/>			You need to pay attention to the numbers in the list and their order.<br/>			The list will end abruptly at any time. You will be told to enter the LAST X number of digits.</p>			<p>[Press SPACE to practice]</p>","32","","","","",""
"html-keyboard-response","4","45432","0.0-4.0","ADV_EN_20","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","5","47243","0.0-5.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","9,8,3","","","",""
"html-keyboard-response","6","49060","0.0-6.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","9,8,3","","","",""
"html-keyboard-response","7","50868","0.0-7.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","9,8,3","","","",""
"survey-html-form-autofocus","8","59339","0.0-8.0","ADV_EN_20","PRE","","7795.79999999702","{""recall"":""83""}","practice recall","","","983","","83","",""
"html-keyboard-response","9","61989","0.0-9.0","ADV_EN_20","PRE","","1986.2000000029802","","","<span class='correct'>Perfect!</span><br/>Press SPACE to continue.","32","","","","",""
"html-keyboard-response","10","62817","0.0-10.0","ADV_EN_20","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","11","64625","0.0-11.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","12","66427","0.0-12.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">8</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","13","68236","0.0-13.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","14","70032","0.0-14.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","4,8,2,1,9","","","",""
"html-keyboard-response","15","71833","0.0-15.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","4,8,2,1,9","","","",""
"survey-html-form-autofocus","16","83564","0.0-16.0","ADV_EN_20","PRE","","11062.59999999404","{""recall"":""481""}","practice recall","","","48219","","219","",""
"html-keyboard-response","17","92061","0.0-17.0","ADV_EN_20","PRE","","7828.5999999940395","","","<p>The sequence was 48219					and you input 481.<br/>					<span class='incorrect'>You should have written 219.</span></p>						<p>Press SPACE to continue</p>","32","","","","",""
"html-keyboard-response","18","92882","0.0-18.0","ADV_EN_20","PRE","","null","","fixation cross","<div class='stimulus'>+</div>","null","","","","",""
"html-keyboard-response","19","94691","0.0-19.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">5</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","20","96506","0.0-20.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">7</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","21","98307","0.0-21.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">1</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","22","100099","0.0-22.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">9</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","23","101904","0.0-23.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">4</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","24","103704","0.0-24.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">2</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","25","105513","0.0-25.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">3</div>","null","5,7,1,9,4,2,3,6","","","",""
"html-keyboard-response","26","107321","0.0-26.0","ADV_EN_20","PRE","","null","","practice display digit","<div class=""stimulus"">6</div>","null","5,7,1,9,4,2,3,6","","","",""
"survey-html-form-autofocus","27","124611","0.0-27.0","ADV_EN_20","PRE","","16615.5","{""recall"":""4567""}","practice recall","","","57194236","","4236","",""
"html-keyboard-response","28","127732","0.0-28.0","ADV_EN_20","PRE","","2450","","","<p>The sequence was 57194236					and you input 4567.<br/>					<span class='incorrect'>You should have written 4236.</span></p>						<p>Press SPACE to continue</p>","32","","","","",""
"html-keyboard-response","29","142661","0.0-29.0","ADV_EN_20","PRE","","14918.20000000298","","","<p>That was the practice section.<br/>			<p>Now goes the official part of the task.<br/>			You won't be given any feedback on your performance.</p>			<p>R U ready?</p>			<p>[Press Y to begin]</p>","89","","","","",""
